"Local.Time","Rainfall","meanWindSpeeds","meanWindDirections","stdDevWindDirections","Station.Longitude","Station.Latitude","StationID","Temperature"
2020-04-13 01:00:00,0,3.4,217,28.2,135.73,-33.13,"scaddan",4.40669392354945
2020-04-13 02:00:00,0,3.3,245,25.5,135.73,-33.13,"scaddan",0.944050427907979
2020-04-13 03:00:00,0,3.3,248,27.7,135.73,-33.13,"scaddan",2.28058010704691
2020-04-13 04:00:00,0,3.5,258,26.8,135.73,-33.13,"scaddan",2.13370615055562
2020-04-13 05:00:00,0,3.9,260,22.7,135.73,-33.13,"scaddan",5.86037059822623
2020-04-13 06:00:00,0,3.8,258,23.3,135.73,-33.13,"scaddan",4.70710603195186
2020-04-13 07:00:00,0,3.8,249,21.7,135.73,-33.13,"scaddan",7.78365882518066
2020-04-13 08:00:00,0,3.1,229,17.9,135.73,-33.13,"scaddan",6.850190664019
2020-04-13 09:00:00,0,2,246,14.5,135.73,-33.13,"scaddan",13.1466412476532
2020-04-13 10:00:00,0,1.8,248,14.5,135.73,-33.13,"scaddan",11.7886326636895
2020-04-13 11:00:00,0,1.3,255,10.5,135.73,-33.13,"scaddan",16.2358813675548
2020-04-13 12:00:00,0,1.3,257,10.1,135.73,-33.13,"scaddan",16.746739075423
2020-04-13 13:00:00,0,1.4,260,9.8,135.73,-33.13,"scaddan",24.3435637861764
2020-04-13 14:00:00,0,0.5,231,53.9,135.73,-33.13,"scaddan",25.5892834007071
2020-04-13 15:00:00,0,0.6,152,112.3,135.73,-33.13,"scaddan",18.7107097478497
2020-04-13 16:00:00,0,0.7,215,50.5,135.73,-33.13,"scaddan",24.2560019089648
2020-04-13 17:00:00,0,0.5,56,63.7,135.73,-33.13,"scaddan",22.3799051609388
2020-04-13 18:00:00,0,0.5,98,33.3,135.73,-33.13,"scaddan",22.862241252739
2020-04-13 19:00:00,0,0.5,41,39.9,135.73,-33.13,"scaddan",21.7848562864476
2020-04-13 20:00:00,0,0.5,73,48.4,135.73,-33.13,"scaddan",17.0322885496575
2020-04-13 21:00:00,0,0.9,162,74.6,135.73,-33.13,"scaddan",14.5245006181742
2020-04-13 22:00:00,0,0.6,20,45.4,135.73,-33.13,"scaddan",12.1320468303043
2020-04-13 23:00:00,0,1,38,27.1,135.73,-33.13,"scaddan",12.1157940780893
2020-04-14 00:00:00,0,1.5,39,61.4,135.73,-33.13,"scaddan",7.49680554740894
2020-04-14 01:00:00,0,1.7,254,59.3,135.73,-33.13,"scaddan",6.57652514707502
2020-04-14 02:00:00,0,2.2,226,51.2,135.73,-33.13,"scaddan",4.712565636371
2020-04-14 03:00:00,0,2.2,258,42.6,135.73,-33.13,"scaddan",3.49417368634311
2020-04-14 04:00:00,0,2.5,259,30,135.73,-33.13,"scaddan",1.92890021139094
2020-04-14 05:00:00,0,3,256,27.7,135.73,-33.13,"scaddan",-0.56943343854835
2020-04-14 06:00:00,0,3,240,20.4,135.73,-33.13,"scaddan",5.2737391674649
2020-04-14 07:00:00,0,3.6,238,16,135.73,-33.13,"scaddan",5.38084623579697
