"Local.Time","Rainfall","meanWindSpeeds","meanWindDirections","stdDevWindDirections","Station.Longitude","Station.Latitude","StationID","Temperature"
2020-04-13 01:00:00,0.2,1.9,303,27,135.86,-33.26,"naddacs",11.7102148839813
2020-04-13 02:00:00,0,1,38,27.1,135.86,-33.26,"naddacs",8.59159442183435
2020-04-13 03:00:00,0,3.5,15,21.5,135.86,-33.26,"naddacs",5.02988643167
2020-04-13 04:00:00,0,0.4,194,36.8,135.86,-33.26,"naddacs",7.32953679566901
2020-04-13 05:00:00,0.4,1.9,276,23.5,135.86,-33.26,"naddacs",4.86755744791443
2020-04-13 06:00:00,0,1.2,263,23.1,135.86,-33.26,"naddacs",6.67268984259535
2020-04-13 07:00:00,0,2.6,59,24.8,135.86,-33.26,"naddacs",10.530955222008
2020-04-13 08:00:00,0,1.1,110,77,135.86,-33.26,"naddacs",10.5956646611834
2020-04-13 09:00:00,0,1.7,90,71.8,135.86,-33.26,"naddacs",13.6330514006424
2020-04-13 10:00:00,0,0.6,25,63.9,135.86,-33.26,"naddacs",15.7568935039137
2020-04-13 11:00:00,0,0.9,193,47.2,135.86,-33.26,"naddacs",19.0929681857768
2020-04-13 12:00:00,0,2.2,124,12.1,135.86,-33.26,"naddacs",23.0431165019529
2020-04-13 13:00:00,0,2.2,180,7.6,135.86,-33.26,"naddacs",21.1954158901334
2020-04-13 14:00:00,0.2,0.7,168,69,135.86,-33.26,"naddacs",24.3424890707843
2020-04-13 15:00:00,0,2,252,13.1,135.86,-33.26,"naddacs",27.1721653995826
2020-04-13 16:00:00,0,2.2,149,35.6,135.86,-33.26,"naddacs",27.7077808715142
2020-04-13 17:00:00,0,2,170,22.8,135.86,-33.26,"naddacs",22.475090548124
2020-04-13 18:00:00,0,4.7,237,18.2,135.86,-33.26,"naddacs",20.391815613194
2020-04-13 19:00:00,0,1.2,56,98.2,135.86,-33.26,"naddacs",21.967392193054
2020-04-13 20:00:00,0,2,103,60.3,135.86,-33.26,"naddacs",18.3216578229505
2020-04-13 21:00:00,0.2,2.8,278,22.7,135.86,-33.26,"naddacs",16.4502949888808
2020-04-13 22:00:00,0,1.6,307,35.2,135.86,-33.26,"naddacs",13.8069501215766
2020-04-13 23:00:00,1,2.2,323,32.2,135.86,-33.26,"naddacs",12.1513782022398
